
merge,1k0.960,0.600,0.524,0.549,0.535,0.540,0.544,0.548,0.554,0.554,
heap,1k0.960,0.120,0.130,0.113,0.115,0.120,0.120,0.124,0.133,0.139,
bubble,1k0.960,0.120,0.100,0.105,0.100,0.101,0.107,0.110,0.118,0.124,
insertion,1k0.960,0.120,0.100,0.105,0.100,0.101,0.107,0.110,0.118,0.124,
selection,1k0.960,0.120,0.100,0.105,0.100,0.101,0.107,0.110,0.118,0.124,
quick,1k0.960,0.120,0.100,0.105,0.100,0.101,0.107,0.110,0.118,0.124,
library,1k0.960,0.120,0.112,0.116,0.116,0.119,0.121,0.126,0.133,0.140,
timsort,1k0.960,0.241,0.141,0.142,0.145,0.150,0.153,0.158,0.164,0.168,
cocktail,1k0.960,0.120,0.100,0.105,0.100,0.101,0.107,0.110,0.118,0.124,
comb,1k0.960,0.120,0.100,0.105,0.100,0.101,0.107,0.110,0.118,0.124,
tournament,1k0.960,0.120,0.130,0.113,0.115,0.120,0.120,0.124,0.133,0.139,
intro,1k0.960,0.120,0.100,0.105,0.100,0.101,0.107,0.110,0.118,0.124,
merge,10k5.921,1.176,6.086,2.727,1.218,6.000,1.220,2.814,6.000,2.757,
heap,10k1.956,1.111,1.114,1.124,1.115,1.114,1.118,1.117,1.118,1.141,
bubble,10k0.960,0.960,0.978,0.972,0.978,0.960,0.966,0.969,0.971,0.962,
insertion,10k0.960,0.960,0.978,0.972,0.978,0.960,0.966,0.969,0.971,0.962,
selection,10k0.960,0.960,0.978,0.972,0.978,0.960,0.966,0.969,0.971,0.962,
quick,10k0.960,0.960,0.978,0.972,0.978,0.960,0.966,0.969,0.971,0.962,
library,10k1.944,1.224,1.134,1.130,1.131,1.142,1.138,1.138,1.140,1.138,
timsort,10k1.920,1.689,1.641,1.642,1.642,1.640,1.640,1.642,1.643,1.642,
cocktail,10k0.960,0.960,0.978,0.972,0.978,0.960,0.966,0.969,0.971,0.962,
comb,10k0.960,0.960,0.974,0.952,0.970,0.959,0.967,0.965,0.967,0.975,
tournament,10k1.956,1.111,1.114,1.116,1.114,1.115,1.119,1.118,1.121,1.119,
intro,10k0.960,0.960,0.974,0.952,0.970,0.959,0.967,0.965,0.967,0.975,
merge,100k49.072,11.558,13.263,13.263,13.263,13.263,13.263,13.263,13.263,13.263,
heap,100k9.074,9.571,9.916,10.248,9.865,9.920,9.938,10.024,10.137,10.060,
bubble,100k8.371,8.713,8.751,8.626,8.760,8.749,8.748,8.750,8.749,8.750,
insertion,100k8.371,8.710,8.750,8.773,8.760,8.749,8.748,8.750,8.749,8.750,
selection,100k8.608,8.699,8.746,8.781,8.754,8.750,8.750,8.750,8.750,8.750,
library,100k9.068,10.132,9.265,8.897,9.706,8.905,9.306,9.306,9.306,8.905,
timsort,100k9.219,9.096,8.844,8.847,8.847,8.847,8.847,8.847,8.847,8.847,
cocktail,100k8.607,8.711,8.750,8.773,8.760,8.749,8.748,8.750,8.749,8.750,
comb,100k8.607,8.901,8.749,8.626,8.760,8.749,8.748,8.750,8.749,8.750,
tournament,100k9.074,10.086,9.080,8.381,8.381,8.107,8.381,8.381,8.107,8.381,
intro,100k8.371,8.871,8.741,8.770,8.759,8.749,8.748,8.750,8.749,8.750,
merge,1m163.536,225.553,251.998,178.121,249.157,167.776,253.966,285.966,243.966,177.263,
heap,1m117.417,115.431,116.355,118.355,114.355,116.355,116.507,115.431,115.431,116.355,
bubble,1m99.785,99.626,99.632,98.708,97.632,99.632,98.708,97.784,97.784,99.632,
insertion,1m98.677,97.630,97.784,97.784,99.632,99.632,99.784,99.632,99.632,101.632,
