algorithm,size,log(size),1,2,3,4,5,6,7,8,9,10,avg,min,max
bubble_100k,100000,5,41271.63,40324.341,39965.081,39987.862,39781.515,39717.644,39996.977,39196.749,39069.352,39094.06,39840.52102,39069.352,41271.63
bubble_10k,10000,4,225.667,227.237,225.912,137.6,140.159,136.303,139.805,140.761,233.516,142.26,174.9219457,136.303,233.516
bubble_1k,1000,3,1.493,1.451,1.495,1.775,1.496,1.51,1.566,1.398,1.489,1.397,1.5069167,1.397,1.775
cocktail_100k,100000,5,23328.928,23280.741,23583.033,23332.772,23642.264,23852.929,23571.278,23732.993,23657.127,23340.414,23532.24792,23280.741,23852.929
cocktail_10k,10000,4,114.196,131.113,130.894,116.795,116.651,115.678,125.134,118.623,115.941,115.734,120.0758667,114.196,131.113
cocktail_1k,1000,3,1.715,1.199,1.498,2.452,5.155,2.805,2.77,1.678,1.612,1.573,2.2456625,1.199,5.155
comb_1m,1000000,6,1078.418,966.501,963.049,968.151,964.066,967.355,958.335,964.332,966.471,968.04,976.4717751,958.335,1078.418
comb_100k,100000,5,37.329,33.399,32.989,33.022,32.108,33.232,33.379,32.773,32.12,31.635,33.1984792,31.635,37.329
comb_10k,10000,4,3.057,2.446,2.508,2.484,2.492,2.221,2.381,2.374,2.397,2.05,2.4410332,2.05,3.057
comb_1k,1000,3,0.802,0.794,0.851,0.77,0.558,0.548,0.53,0.545,0.537,0.564,0.6498418,0.53,0.851
heap_1m,1000000,6,803.38,760.183,758.686,758.389,764.212,758.268,767.852,762.365,761.704,763.708,765.8746586,758.268,803.38
heap_100k,100000,5,30.885,30.348,27.745,27.113,26.642,27.501,28.716,27.043,26.294,28.816,28.110196,26.294,30.885
heap_10k,10000,4,3.378,2.792,2.4,2.303,2.462,2.279,2.304,2.316,2.333,2.357,2.4923665,2.279,3.378
heap_1k,1000,3,0.467,0.401,0.49,0.614,0.428,0.382,0.399,0.382,0.368,0.511,0.444179,0.368,0.614
insertion_100k,100000,5,4498.816,4358.299,4332.881,4445.14,4358.43,4321.555,4322.199,4441.76,4357.567,4343.161,4377.980896,4321.555,4498.816
insertion_10k,10000,4,38.082,35.617,34.784,34.584,34.4,34.066,34.126,33.995,34.353,34.41,34.8416501,33.995,38.082
